Rating	ID	Title	Title Slug	Contest Slug	Problem Index	Tags
1373.0925554699925	1	Two Sum	two-sum			Array,Hash Table
1709.8964904074933	2	Add Two Numbers	add-two-numbers			Linked List,Math,Recursion
1747.6131844147262	3	Longest Substring Without Repeating Characters	longest-substring-without-repeating-characters			Hash Table,String,Sliding Window
2018.2427970078818	4	Median of Two Sorted Arrays	median-of-two-sorted-arrays			Array,Binary Search,Divide and Conquer
1752.2053078093422	5	Longest Palindromic Substring	longest-palindromic-substring			Two Pointers,String,Dynamic Programming
1687.620123744484	6	Zigzag Conversion	zigzag-conversion			String
1775.1337972662539	7	Reverse Integer	reverse-integer			Math
1818.9395072444893	8	String to Integer (atoi)	string-to-integer-atoi			String
1359.9570357122518	9	Palindrome Number	palindrome-number			Math
2079.478253115787	10	Regular Expression Matching	regular-expression-matching			String,Dynamic Programming,Recursion
1663.349588236637	11	Container With Most Water	container-with-most-water			Array,Two Pointers,Greedy
1619.8797382605217	12	Integer to Roman	integer-to-roman			Hash Table,Math,String
1336.2870022750838	13	Roman to Integer	roman-to-integer			Hash Table,Math,String
1413.1390299187244	14	Longest Common Prefix	longest-common-prefix			Array,String,Trie
1747.1941150044736	15	3Sum	3sum			Array,Two Pointers,Sorting
1709.1209202984844	16	3Sum Closest	3sum-closest			Array,Two Pointers,Sorting
1639.5906669116296	17	Letter Combinations of a Phone Number	letter-combinations-of-a-phone-number			Hash Table,String,Backtracking
1741.7997710882014	18	4Sum	4sum			Array,Two Pointers,Sorting
1697.9063135407819	19	Remove Nth Node From End of List	remove-nth-node-from-end-of-list			Linked List,Two Pointers
1426.5341677326016	20	Valid Parentheses	valid-parentheses			String,Stack
1329.3680143106762	21	Merge Two Sorted Lists	merge-two-sorted-lists			Linked List,Recursion
1587.9636076441143	22	Generate Parentheses	generate-parentheses			String,Dynamic Programming,Backtracking
1966.4182054133912	23	Merge k Sorted Lists	merge-k-sorted-lists			Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort
1625.8526348716102	24	Swap Nodes in Pairs	swap-nodes-in-pairs			Linked List,Recursion
1940.7183655536028	25	Reverse Nodes in k-Group	reverse-nodes-in-k-group			Linked List,Recursion
1352.8630369632167	26	Remove Duplicates from Sorted Array	remove-duplicates-from-sorted-array			Array,Two Pointers
1355.9107166174208	27	Remove Element	remove-element			Array,Two Pointers
1416.1293110269453	28	Find the Index of the First Occurrence in a String	find-the-index-of-the-first-occurrence-in-a-string			Two Pointers,String,String Matching
1823.4140651127661	29	Divide Two Integers	divide-two-integers			Math,Bit Manipulation
2065.2175292281718	30	Substring with Concatenation of All Words	substring-with-concatenation-of-all-words			Hash Table,String,Sliding Window
1722.5502500369253	31	Next Permutation	next-permutation			Array,Two Pointers
2049.505526318986	32	Longest Valid Parentheses	longest-valid-parentheses			String,Dynamic Programming,Stack
1724.7735819198888	33	Search in Rotated Sorted Array	search-in-rotated-sorted-array			Array,Binary Search
1708.1214994582963	34	Find First and Last Position of Element in Sorted Array	find-first-and-last-position-of-element-in-sorted-array			Array,Binary Search
1398.9615094013625	35	Search Insert Position	search-insert-position			Array,Binary Search
1644.4932011307476	36	Valid Sudoku	valid-sudoku			Array,Hash Table,Matrix
1938.6456768154715	37	Sudoku Solver	sudoku-solver			Array,Hash Table,Backtracking,Matrix
1652.2885948806666	38	Count and Say	count-and-say			String
1596.9430970273145	39	Combination Sum	combination-sum			Array,Backtracking
1665.4002041157041	40	Combination Sum II	combination-sum-ii			Array,Backtracking
2031.6367193021024	41	First Missing Positive	first-missing-positive			Array,Hash Table
1934.4177710233193	42	Trapping Rain Water	trapping-rain-water			Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack
1726.9131312616635	43	Multiply Strings	multiply-strings			Math,String,Simulation
2075.81992765277	44	Wildcard Matching	wildcard-matching			String,Dynamic Programming,Greedy,Recursion
1731.0135207336507	45	Jump Game II	jump-game-ii			Array,Dynamic Programming,Greedy
1574.3525564338095	46	Permutations	permutations			Array,Backtracking
